Mean,StdDev,Entropy,Kurtosis,Skewness,MinValue,MaxValue,Range,UniqueByteCount,Hash,Label
136.95,68.98874908273088,4.221928092146242,-0.9977089254328182,-0.2703873442139033,16,252,236,19,1469e3c58d10d86a2bb1d63a93b19973fc3497ac,RC4
146.1,75.94596763489159,4.321928092001972,-1.1075783746503467,-0.23449238864734034,1,252,251,20,3546dcf7a832aa6122acde01b196936bfc6ce3fa,RC4
133.15,70.02447786310155,4.221928092146242,-0.8300462170116845,-0.15530056922385777,2,249,247,19,7372f9f0ae1f86173884c10290b08454a24ee9bf,RC4
128.45,64.89335482158401,4.321928092001972,-0.755792459357056,-0.260171486766221,10,238,228,20,0e67afe2992584740a91ee2f8ed6905ba94f97b7,RC4
128.75,69.13528404512417,4.221928092146242,-1.0424850151702152,-0.20309660607399002,12,246,234,19,250cccc2ad31a46310b8e72882af9352f66f9386,RC4
131.3,75.7331499410925,4.321928092001972,-1.083760051125918,-0.3213816608223223,7,248,241,20,2d71f8d88419ac1008b7da07b6b28160906beaad,RC4
144.9,53.69348191354329,4.321928092001972,-0.3554228092802374,-0.19272823972822556,21,236,215,20,1556acecab6d894f7da5d75a8cd0e3739576c18e,RC4
123.0,72.43893980450018,4.321928092001972,-1.078970844088915,-0.25555981937593697,4,236,232,20,2b0aa8909104de172784ec1b958ee676aa7797bc,RC4
146.95,65.36472672627033,4.321928092001972,-0.9257346447532302,-0.18188261700500927,17,249,232,20,3971e3d5aa119f6d708bf932f184e151a766c0b8,RC4
141.9,65.64746758253511,4.221928092146242,-0.6688646916067902,-0.18819105501002964,2,246,244,19,3a65e9e5ae62a06202a28d2f8f92b371bc54ecf6,RC4
135.9,70.32204490769591,4.321928092001972,-0.9224999881842826,-0.24997461922299274,6,245,239,20,0a52ec91b20699487c8cd72df58aa253bc50e3bd,RC4
148.95,59.51090236250834,4.221928092146242,-1.0259799514765267,0.07569951702287656,55,255,200,19,3776d8d59a3aa663709aff3df08abc61a867e19f,RC4
140.7,88.49581911028339,4.321928092001972,-1.3834014361031994,-0.35073378163796526,5,251,246,20,0c09f6f89a36be111babe105f1a6bb63b570dbfb,RC4
119.95,66.49246197878372,4.321928092001972,-1.1204439611382104,-0.25872970319603733,3,228,225,20,1654aae49403a14d1e85d11888b1b75e8631c78a,RC4
140.0,64.32495627670492,4.321928092001972,-1.0324397121445075,-0.18290532292940018,27,246,219,20,755daaeb9436be742681cc1bb1af8f56b435dbf6,RC4
121.3,61.79328442476578,4.321928092001972,-0.9539495288106412,-0.2486568129651476,6,217,211,20,2a5dc1d5843092500683d911aa8c93549148c599,RC4
137.0,72.77430865353514,4.321928092001972,-0.992714355367232,-0.35978437606213326,10,253,243,20,0d0ad0c0ae60da7138b8fd139e93ac58a847eca4,RC4
